SUBDIVISION,YEAR,QUARTER,TERRAIN,PREDICTED_PRECIPITATION
BIHAR,2019,Oct-Dec,Plain-land,171.31214904785156
CHHATTISGARH,2019,Jan-Feb,Hilly,34.97864532470703
CHHATTISGARH,2019,Jun-Sep,Hilly,1255.261474609375
CHHATTISGARH,2019,Mar-May,Hilly,302.7833557128906
CHHATTISGARH,2019,Oct-Dec,Hilly,140.2929229736328
COASTAL ANDHRA PRADESH,2019,Jan-Feb,Coastal,6.994202136993408
COASTAL ANDHRA PRADESH,2019,Jun-Sep,Coastal,1634.806884765625
COASTAL ANDHRA PRADESH,2019,Mar-May,Coastal,192.41990661621094
COASTAL ANDHRA PRADESH,2019,Oct-Dec,Coastal,253.41104125976562
COASTAL KARNATAKA,2019,Jan-Feb,Coastal,2.7097227573394775
COASTAL KARNATAKA,2019,Jun-Sep,Coastal,1589.1419677734375
COASTAL KARNATAKA,2019,Mar-May,Coastal,167.173828125
COASTAL KARNATAKA,2019,Oct-Dec,Coastal,233.08834838867188
EAST MADHYA PRADESH,2019,Jan-Feb,Everything,24.260831832885742
EAST MADHYA PRADESH,2019,Jun-Sep,Everything,1254.8170166015625
EAST MADHYA PRADESH,2019,Mar-May,Everything,157.81759643554688
EAST MADHYA PRADESH,2019,Oct-Dec,Everything,68.72028350830078
EAST RAJASTHAN,2019,Jan-Feb,Desert,3.150454521179199
EAST RAJASTHAN,2019,Jun-Sep,Desert,1353.5711669921875
EAST RAJASTHAN,2019,Mar-May,Desert,123.47856903076172
EAST RAJASTHAN,2019,Oct-Dec,Desert,112.13047790527344
EAST UTTAR PRADESH,2019,Jan-Feb,Rugged,0.23121552169322968
EAST UTTAR PRADESH,2019,Jun-Sep,Rugged,720.839599609375
EAST UTTAR PRADESH,2019,Mar-May,Rugged,31.87763786315918
EAST UTTAR PRADESH,2019,Oct-Dec,Rugged,11.4762601852417
GANGETIC WEST BENGAL,2019,Jan-Feb,Coastal-plateau,2.8883414268493652
GANGETIC WEST BENGAL,2019,Jun-Sep,Coastal-plateau,1333.541748046875
GANGETIC WEST BENGAL,2019,Mar-May,Coastal-plateau,114.967529296875
GANGETIC WEST BENGAL,2019,Oct-Dec,Coastal-plateau,153.64566040039062
GUJARAT REGION,2019,Jan-Feb,Desert/marsh,26.866044998168945
GUJARAT REGION,2019,Jun-Sep,Desert/marsh,1145.214599609375
GUJARAT REGION,2019,Mar-May,Desert/marsh,126.99634552001953
GUJARAT REGION,2019,Oct-Dec,Desert/marsh,85.28538513183594
HARYANA DELHI & CHANDIGARH,2019,Jan-Feb,Plain-land,1.3358509540557861
HARYANA DELHI & CHANDIGARH,2019,Jun-Sep,Plain-land,706.076904296875
HARYANA DELHI & CHANDIGARH,2019,Mar-May,Plain-land,50.49846649169922
HARYANA DELHI & CHANDIGARH,2019,Oct-Dec,Plain-land,25.06427001953125
HIMACHAL PRADESH,2019,Jan-Feb,Hilly,64.46851348876953
HIMACHAL PRADESH,2019,Jun-Sep,Hilly,871.0333251953125
HIMACHAL PRADESH,2019,Mar-May,Hilly,201.87875366210938
HIMACHAL PRADESH,2019,Oct-Dec,Hilly,88.60203552246094
JAMMU & KASHMIR,2019,Jan-Feb,Hilly,63.83604431152344
JAMMU & KASHMIR,2019,Jun-Sep,Hilly,847.159423828125
JAMMU & KASHMIR,2019,Mar-May,Hilly,204.28195190429688
JAMMU & KASHMIR,2019,Oct-Dec,Hilly,89.00765228271484
JHARKHAND,2019,Jan-Feb,Forest,53.653751373291016
JHARKHAND,2019,Jun-Sep,Forest,873.5462646484375
JHARKHAND,2019,Mar-May,Forest,181.9364776611328
JHARKHAND,2019,Oct-Dec,Forest,93.07210540771484
KERALA,2019,Jan-Feb,Coastal,10.371899604797363
KERALA,2019,Jun-Sep,Coastal,1109.82763671875
KERALA,2019,Mar-May,Coastal,141.07827758789062
KERALA,2019,Oct-Dec,Coastal,188.0376739501953
MADHYA MAHARASHTRA,2019,Jan-Feb,Plain-land,5.001358985900879
MADHYA MAHARASHTRA,2019,Jun-Sep,Plain-land,655.1935424804688
MADHYA MAHARASHTRA,2019,Mar-May,Plain-land,40.124324798583984
MADHYA MAHARASHTRA,2019,Oct-Dec,Plain-land,34.06525802612305
NAGA MANI MIZO TRIPURA,2019,Jan-Feb,Hilly,57.398193359375
NAGA MANI MIZO TRIPURA,2019,Jun-Sep,Hilly,799.6400146484375
NAGA MANI MIZO TRIPURA,2019,Mar-May,Hilly,201.0777587890625
NAGA MANI MIZO TRIPURA,2019,Oct-Dec,Hilly,94.3860855102539
NORTH INTERIOR KARNATAKA,2019,Jan-Feb,Coastal,12.48861026763916
NORTH INTERIOR KARNATAKA,2019,Jun-Sep,Coastal,980.2908935546875
NORTH INTERIOR KARNATAKA,2019,Mar-May,Coastal,146.7715606689453
NORTH INTERIOR KARNATAKA,2019,Oct-Dec,Coastal,167.03860473632812
ORISSA,2019,Jan-Feb,Coastal,13.174586296081543
ORISSA,2019,Jun-Sep,Coastal,947.9015502929688
ORISSA,2019,Mar-May,Coastal,145.1388702392578
ORISSA,2019,Oct-Dec,Coastal,162.01129150390625
PUNJAB,2019,Jan-Feb,Plain-land,5.461974620819092
PUNJAB,2019,Jun-Sep,Plain-land,619.5903930664062
PUNJAB,2019,Mar-May,Plain-land,26.869577407836914
PUNJAB,2019,Oct-Dec,Plain-land,48.29151916503906
SOUTH INTERIOR KARNATAKA,2019,Jan-Feb,Coastal,12.176758766174316
SOUTH INTERIOR KARNATAKA,2019,Jun-Sep,Coastal,900.8973388671875
SOUTH INTERIOR KARNATAKA,2019,Mar-May,Coastal,140.1793212890625
SOUTH INTERIOR KARNATAKA,2019,Oct-Dec,Coastal,151.78549194335938
SUB HIMALAYAN WEST BENGAL & SIKKIM,2019,Jan-Feb,Hilly,50.45044708251953
SUB HIMALAYAN WEST BENGAL & SIKKIM,2019,Jun-Sep,Hilly,750.9139404296875
SUB HIMALAYAN WEST BENGAL & SIKKIM,2019,Mar-May,Hilly,181.77536010742188
SUB HIMALAYAN WEST BENGAL & SIKKIM,2019,Oct-Dec,Hilly,114.99183654785156
TAMIL NADU,2019,Jan-Feb,Hilly/coastal,45.18655776977539
TAMIL NADU,2019,Jun-Sep,Hilly/coastal,706.7196044921875
TAMIL NADU,2019,Mar-May,Hilly/coastal,135.47366333007812
TAMIL NADU,2019,Oct-Dec,Hilly/coastal,133.07537841796875
TELANGANA,2019,Jan-Feb,Hilly/plain,36.6947135925293
TELANGANA,2019,Jun-Sep,Hilly/plain,662.3593139648438
TELANGANA,2019,Mar-May,Hilly/plain,89.72972869873047
TELANGANA,2019,Oct-Dec,Hilly/plain,117.28192901611328
UTTARAKHAND,2019,Jan-Feb,Hilly,47.831851959228516
UTTARAKHAND,2019,Jun-Sep,Hilly,714.7490234375
UTTARAKHAND,2019,Mar-May,Hilly,165.86203002929688
UTTARAKHAND,2019,Oct-Dec,Hilly,129.2261505126953
WEST MADHYA PRADESH,2019,Jan-Feb,Plain-land,7.5331549644470215
WEST MADHYA PRADESH,2019,Jun-Sep,Plain-land,575.2803955078125
WEST MADHYA PRADESH,2019,Mar-May,Plain-land,28.530731201171875
WEST MADHYA PRADESH,2019,Oct-Dec,Plain-land,78.38240814208984
WEST RAJASTHAN,2019,Jan-Feb,Desert,14.414027214050293
WEST RAJASTHAN,2019,Jun-Sep,Desert,759.9976196289062
WEST RAJASTHAN,2019,Mar-May,Desert,132.78497314453125
WEST RAJASTHAN,2019,Oct-Dec,Desert,115.46821594238281
WEST UTTAR PRADESH,2019,Jan-Feb,Hilly,47.27947998046875
WEST UTTAR PRADESH,2019,Jun-Sep,Hilly,676.969482421875
WEST UTTAR PRADESH,2019,Mar-May,Hilly,155.55831909179688
WEST UTTAR PRADESH,2019,Oct-Dec,Hilly,145.783935546875
ANDAMAN & NICOBAR ISLANDS,2020,Jan-Feb,Island,86.93314361572266
ANDAMAN & NICOBAR ISLANDS,2020,Jun-Sep,Island,1222.47412109375
ANDAMAN & NICOBAR ISLANDS,2020,Mar-May,Island,421.2651062011719
ANDAMAN & NICOBAR ISLANDS,2020,Oct-Dec,Island,332.96331787109375
ARUNACHAL PRADESH,2020,Jan-Feb,Hilly,95.90776824951172
ARUNACHAL PRADESH,2020,Jun-Sep,Hilly,1393.568115234375
ARUNACHAL PRADESH,2020,Mar-May,Hilly,424.3760070800781
ARUNACHAL PRADESH,2020,Oct-Dec,Hilly,270.25238037109375
ASSAM & MEGHALAYA,2020,Jan-Feb,Hilly,64.71602630615234
ASSAM & MEGHALAYA,2020,Jun-Sep,Hilly,1346.230224609375
ASSAM & MEGHALAYA,2020,Mar-May,Hilly,384.0694274902344
ASSAM & MEGHALAYA,2020,Oct-Dec,Hilly,226.10867309570312
BIHAR,2020,Jan-Feb,Plain-land,10.907490730285645
BIHAR,2020,Jun-Sep,Plain-land,1004.3689575195312
BIHAR,2020,Mar-May,Plain-land,227.2020721435547
BIHAR,2020,Oct-Dec,Plain-land,172.2020721435547
CHHATTISGARH,2020,Jan-Feb,Hilly,35.899147033691406
CHHATTISGARH,2020,Jun-Sep,Hilly,1251.5546875
CHHATTISGARH,2020,Mar-May,Hilly,304.0832824707031
CHHATTISGARH,2020,Oct-Dec,Hilly,141.00460815429688
COASTAL ANDHRA PRADESH,2020,Jan-Feb,Coastal,7.944713115692139
COASTAL ANDHRA PRADESH,2020,Jun-Sep,Coastal,1631.026611328125
COASTAL ANDHRA PRADESH,2020,Mar-May,Coastal,194.87075805664062
COASTAL ANDHRA PRADESH,2020,Oct-Dec,Coastal,254.0007781982422
COASTAL KARNATAKA,2020,Jan-Feb,Coastal,3.525308132171631
COASTAL KARNATAKA,2020,Jun-Sep,Coastal,1585.36181640625
COASTAL KARNATAKA,2020,Mar-May,Coastal,169.5884246826172
COASTAL KARNATAKA,2020,Oct-Dec,Coastal,233.7594451904297
EAST MADHYA PRADESH,2020,Jan-Feb,Everything,24.621606826782227
EAST MADHYA PRADESH,2020,Jun-Sep,Everything,1251.099609375
EAST MADHYA PRADESH,2020,Mar-May,Everything,159.505859375
EAST MADHYA PRADESH,2020,Oct-Dec,Everything,69.62834930419922
EAST RAJASTHAN,2020,Jan-Feb,Desert,3.5892891883850098
EAST RAJASTHAN,2020,Jun-Sep,Desert,1349.7911376953125
EAST RAJASTHAN,2020,Mar-May,Desert,125.01249694824219
EAST RAJASTHAN,2020,Oct-Dec,Desert,113.3799819946289
EAST UTTAR PRADESH,2020,Jan-Feb,Rugged,0.2301548421382904
EAST UTTAR PRADESH,2020,Jun-Sep,Rugged,720.4198608398438
EAST UTTAR PRADESH,2020,Mar-May,Rugged,32.94287872314453
EAST UTTAR PRADESH,2020,Oct-Dec,Rugged,13.08205509185791
GANGETIC WEST BENGAL,2020,Jan-Feb,Coastal-plateau,3.2725563049316406
GANGETIC WEST BENGAL,2020,Jun-Sep,Coastal-plateau,1329.775146484375
GANGETIC WEST BENGAL,2020,Mar-May,Coastal-plateau,116.62407684326172
GANGETIC WEST BENGAL,2020,Oct-Dec,Coastal-plateau,154.39239501953125
GUJARAT REGION,2020,Jan-Feb,Desert/marsh,26.97838020324707
GUJARAT REGION,2020,Jun-Sep,Desert/marsh,1141.949951171875
GUJARAT REGION,2020,Mar-May,Desert/marsh,128.09432983398438
GUJARAT REGION,2020,Oct-Dec,Desert/marsh,86.1725845336914
HARYANA DELHI & CHANDIGARH,2020,Jan-Feb,Plain-land,1.3586982488632202
HARYANA DELHI & CHANDIGARH,2020,Jun-Sep,Plain-land,704.9962158203125
HARYANA DELHI & CHANDIGARH,2020,Mar-May,Plain-land,51.74174118041992
HARYANA DELHI & CHANDIGARH,2020,Oct-Dec,Plain-land,25.96690559387207
HIMACHAL PRADESH,2020,Jan-Feb,Hilly,64.39977264404297
HIMACHAL PRADESH,2020,Jun-Sep,Hilly,869.4019775390625
HIMACHAL PRADESH,2020,Mar-May,Hilly,202.2571563720703
HIMACHAL PRADESH,2020,Oct-Dec,Hilly,89.39834594726562
JAMMU & KASHMIR,2020,Jan-Feb,Hilly,63.77443313598633
JAMMU & KASHMIR,2020,Jun-Sep,Hilly,845.2724609375
JAMMU & KASHMIR,2020,Mar-May,Hilly,204.41192626953125
JAMMU & KASHMIR,2020,Oct-Dec,Hilly,90.07845306396484
JHARKHAND,2020,Jan-Feb,Forest,53.71068572998047
JHARKHAND,2020,Jun-Sep,Forest,871.483154296875
JHARKHAND,2020,Mar-May,Forest,182.31069946289062
JHARKHAND,2020,Oct-Dec,Forest,93.93621826171875
KERALA,2020,Jan-Feb,Coastal,10.74821949005127
KERALA,2020,Jun-Sep,Coastal,1106.5345458984375
KERALA,2020,Mar-May,Coastal,142.36167907714844
KERALA,2020,Oct-Dec,Coastal,187.88143920898438
MADHYA MAHARASHTRA,2020,Jan-Feb,Plain-land,5.271657466888428
MADHYA MAHARASHTRA,2020,Jun-Sep,Plain-land,653.867919921875
MADHYA MAHARASHTRA,2020,Mar-May,Plain-land,41.341922760009766
MADHYA MAHARASHTRA,2020,Oct-Dec,Plain-land,34.42148208618164
NAGA MANI MIZO TRIPURA,2020,Jan-Feb,Hilly,57.64924621582031
NAGA MANI MIZO TRIPURA,2020,Jun-Sep,Hilly,797.133056640625
NAGA MANI MIZO TRIPURA,2020,Mar-May,Hilly,201.2467041015625
NAGA MANI MIZO TRIPURA,2020,Oct-Dec,Hilly,94.89547729492188
NORTH INTERIOR KARNATAKA,2020,Jan-Feb,Coastal,12.663310050964355
NORTH INTERIOR KARNATAKA,2020,Jun-Sep,Coastal,978.4702758789062
NORTH INTERIOR KARNATAKA,2020,Mar-May,Coastal,147.80886840820312
NORTH INTERIOR KARNATAKA,2020,Oct-Dec,Coastal,167.3511962890625
ORISSA,2020,Jan-Feb,Coastal,13.361433029174805
ORISSA,2020,Jun-Sep,Coastal,945.99951171875
ORISSA,2020,Mar-May,Coastal,146.15830993652344
ORISSA,2020,Oct-Dec,Coastal,162.22817993164062
PUNJAB,2020,Jan-Feb,Plain-land,5.745084285736084
PUNJAB,2020,Jun-Sep,Plain-land,617.9085083007812
PUNJAB,2020,Mar-May,Plain-land,28.095741271972656
PUNJAB,2020,Oct-Dec,Plain-land,48.633872985839844
SOUTH INTERIOR KARNATAKA,2020,Jan-Feb,Coastal,12.351496696472168
SOUTH INTERIOR KARNATAKA,2020,Jun-Sep,Coastal,898.8951416015625
SOUTH INTERIOR KARNATAKA,2020,Mar-May,Coastal,140.85653686523438
SOUTH INTERIOR KARNATAKA,2020,Oct-Dec,Coastal,152.24346923828125
SUB HIMALAYAN WEST BENGAL & SIKKIM,2020,Jan-Feb,Hilly,50.78277587890625
SUB HIMALAYAN WEST BENGAL & SIKKIM,2020,Jun-Sep,Hilly,748.6718139648438
SUB HIMALAYAN WEST BENGAL & SIKKIM,2020,Mar-May,Hilly,182.1178436279297
SUB HIMALAYAN WEST BENGAL & SIKKIM,2020,Oct-Dec,Hilly,115.26456451416016
TAMIL NADU,2020,Jan-Feb,Hilly/coastal,45.55281066894531
TAMIL NADU,2020,Jun-Sep,Hilly/coastal,704.342041015625
TAMIL NADU,2020,Mar-May,Hilly/coastal,135.8419189453125
TAMIL NADU,2020,Oct-Dec,Hilly/coastal,133.31375122070312
TELANGANA,2020,Jan-Feb,Hilly/plain,37.15637969970703
TELANGANA,2020,Jun-Sep,Hilly/plain,660.1336669921875
TELANGANA,2020,Mar-May,Hilly/plain,90.79854583740234
TELANGANA,2020,Oct-Dec,Hilly/plain,117.48184204101562
UTTARAKHAND,2020,Jan-Feb,Hilly,48.146324157714844
UTTARAKHAND,2020,Jun-Sep,Hilly,712.3109130859375
UTTARAKHAND,2020,Mar-May,Hilly,166.21640014648438
UTTARAKHAND,2020,Oct-Dec,Hilly,129.2900390625
WEST MADHYA PRADESH,2020,Jan-Feb,Plain-land,7.929775238037109
WEST MADHYA PRADESH,2020,Jun-Sep,Plain-land,572.9954223632812
WEST MADHYA PRADESH,2020,Mar-May,Plain-land,29.346498489379883
WEST MADHYA PRADESH,2020,Oct-Dec,Plain-land,78.6204833984375
WEST RAJASTHAN,2020,Jan-Feb,Desert,14.462910652160645
WEST RAJASTHAN,2020,Jun-Sep,Desert,757.7393798828125
WEST RAJASTHAN,2020,Mar-May,Desert,133.10745239257812
WEST RAJASTHAN,2020,Oct-Dec,Desert,115.79450988769531
WEST UTTAR PRADESH,2020,Jan-Feb,Hilly,47.6169319152832
WEST UTTAR PRADESH,2020,Jun-Sep,Hilly,674.5804443359375
WEST UTTAR PRADESH,2020,Mar-May,Hilly,155.9671630859375
WEST UTTAR PRADESH,2020,Oct-Dec,Hilly,145.73101806640625
ANDAMAN & NICOBAR ISLANDS,2021,Jan-Feb,Island,88.11724090576172
ANDAMAN & NICOBAR ISLANDS,2021,Jun-Sep,Island,1219.6163330078125
ANDAMAN & NICOBAR ISLANDS,2021,Mar-May,Island,422.98504638671875
ANDAMAN & NICOBAR ISLANDS,2021,Oct-Dec,Island,333.54498291015625
ARUNACHAL PRADESH,2021,Jan-Feb,Hilly,97.4642562866211
ARUNACHAL PRADESH,2021,Jun-Sep,Hilly,1390.103515625
ARUNACHAL PRADESH,2021,Mar-May,Hilly,425.0911560058594
ARUNACHAL PRADESH,2021,Oct-Dec,Hilly,271.11297607421875
ASSAM & MEGHALAYA,2021,Jan-Feb,Hilly,66.12890625
ASSAM & MEGHALAYA,2021,Jun-Sep,Hilly,1342.6748046875
ASSAM & MEGHALAYA,2021,Mar-May,Hilly,384.8314208984375
ASSAM & MEGHALAYA,2021,Oct-Dec,Hilly,226.90484619140625
BIHAR,2021,Jan-Feb,Plain-land,11.172053337097168
BIHAR,2021,Jun-Sep,Plain-land,1001.8345947265625
BIHAR,2021,Mar-May,Plain-land,229.1300506591797
BIHAR,2021,Oct-Dec,Plain-land,173.29542541503906
CHHATTISGARH,2021,Jan-Feb,Hilly,36.70918273925781
CHHATTISGARH,2021,Jun-Sep,Hilly,1248.215576171875
CHHATTISGARH,2021,Mar-May,Hilly,305.3832092285156
CHHATTISGARH,2021,Oct-Dec,Hilly,141.71629333496094
COASTAL ANDHRA PRADESH,2021,Jan-Feb,Coastal,9.039365768432617
COASTAL ANDHRA PRADESH,2021,Jun-Sep,Coastal,1627.24658203125
COASTAL ANDHRA PRADESH,2021,Mar-May,Coastal,197.321533203125
COASTAL ANDHRA PRADESH,2021,Oct-Dec,Coastal,254.86746215820312
COASTAL KARNATAKA,2021,Jan-Feb,Coastal,4.413799285888672
COASTAL KARNATAKA,2021,Jun-Sep,Coastal,1581.58154296875
COASTAL KARNATAKA,2021,Mar-May,Coastal,172.0029296875
COASTAL KARNATAKA,2021,Oct-Dec,Coastal,234.53863525390625
EAST MADHYA PRADESH,2021,Jan-Feb,Everything,24.98238754272461
EAST MADHYA PRADESH,2021,Jun-Sep,Everything,1247.919189453125
EAST MADHYA PRADESH,2021,Mar-May,Everything,161.194091796875
EAST MADHYA PRADESH,2021,Oct-Dec,Everything,70.5880126953125
EAST RAJASTHAN,2021,Jan-Feb,Desert,4.202432632446289
EAST RAJASTHAN,2021,Jun-Sep,Desert,1346.010986328125
EAST RAJASTHAN,2021,Mar-May,Desert,126.62483215332031
EAST RAJASTHAN,2021,Oct-Dec,Desert,114.71217346191406
EAST UTTAR PRADESH,2021,Jan-Feb,Rugged,0.228601336479187
EAST UTTAR PRADESH,2021,Jun-Sep,Rugged,720.2919311523438
EAST UTTAR PRADESH,2021,Mar-May,Rugged,34.308509826660156
EAST UTTAR PRADESH,2021,Oct-Dec,Rugged,14.851951599121094
GANGETIC WEST BENGAL,2021,Jan-Feb,Coastal-plateau,3.727292537689209
GANGETIC WEST BENGAL,2021,Jun-Sep,Coastal-plateau,1326.008544921875
GANGETIC WEST BENGAL,2021,Mar-May,Coastal-plateau,118.28063201904297
GANGETIC WEST BENGAL,2021,Oct-Dec,Coastal-plateau,154.78128051757812
GUJARAT REGION,2021,Jan-Feb,Desert/marsh,27.10853385925293
GUJARAT REGION,2021,Jun-Sep,Desert/marsh,1138.685302734375
GUJARAT REGION,2021,Mar-May,Desert/marsh,129.19305419921875
GUJARAT REGION,2021,Oct-Dec,Desert/marsh,87.19673919677734
HARYANA DELHI & CHANDIGARH,2021,Jan-Feb,Plain-land,1.3967362642288208
HARYANA DELHI & CHANDIGARH,2021,Jun-Sep,Plain-land,704.0700073242188
HARYANA DELHI & CHANDIGARH,2021,Mar-May,Plain-land,53.10706329345703
HARYANA DELHI & CHANDIGARH,2021,Oct-Dec,Plain-land,26.999895095825195
HIMACHAL PRADESH,2021,Jan-Feb,Hilly,64.33580780029297
HIMACHAL PRADESH,2021,Jun-Sep,Hilly,867.8253784179688
HIMACHAL PRADESH,2021,Mar-May,Hilly,202.8147430419922
HIMACHAL PRADESH,2021,Oct-Dec,Hilly,90.19463348388672
JAMMU & KASHMIR,2021,Jan-Feb,Hilly,63.71282196044922
JAMMU & KASHMIR,2021,Jun-Sep,Hilly,843.41796875
JAMMU & KASHMIR,2021,Mar-May,Hilly,204.54986572265625
JAMMU & KASHMIR,2021,Oct-Dec,Hilly,91.14924621582031
JHARKHAND,2021,Jan-Feb,Forest,53.767616271972656
JHARKHAND,2021,Jun-Sep,Forest,869.5472412109375
JHARKHAND,2021,Mar-May,Forest,182.76133728027344
JHARKHAND,2021,Oct-Dec,Forest,94.90933227539062
KERALA,2021,Jan-Feb,Coastal,11.144243240356445
KERALA,2021,Jun-Sep,Coastal,1103.5172119140625
KERALA,2021,Mar-May,Coastal,143.67428588867188
KERALA,2021,Oct-Dec,Coastal,187.72518920898438
MADHYA MAHARASHTRA,2021,Jan-Feb,Plain-land,5.541954517364502
MADHYA MAHARASHTRA,2021,Jun-Sep,Plain-land,652.5423583984375
MADHYA MAHARASHTRA,2021,Mar-May,Plain-land,42.55950164794922
MADHYA MAHARASHTRA,2021,Oct-Dec,Plain-land,34.7777099609375
NAGA MANI MIZO TRIPURA,2021,Jan-Feb,Hilly,57.900291442871094
NAGA MANI MIZO TRIPURA,2021,Jun-Sep,Hilly,794.7308349609375
NAGA MANI MIZO TRIPURA,2021,Mar-May,Hilly,201.54409790039062
NAGA MANI MIZO TRIPURA,2021,Oct-Dec,Hilly,95.5713882446289
NORTH INTERIOR KARNATAKA,2021,Jan-Feb,Coastal,12.838554382324219
NORTH INTERIOR KARNATAKA,2021,Jun-Sep,Coastal,976.6495361328125
NORTH INTERIOR KARNATAKA,2021,Mar-May,Coastal,148.97723388671875
NORTH INTERIOR KARNATAKA,2021,Oct-Dec,Coastal,167.68724060058594
ORISSA,2021,Jan-Feb,Coastal,13.541993141174316
ORISSA,2021,Jun-Sep,Coastal,944.0972900390625
ORISSA,2021,Mar-May,Coastal,147.19512939453125
ORISSA,2021,Oct-Dec,Coastal,162.46368408203125
PUNJAB,2021,Jan-Feb,Plain-land,6.036599636077881
PUNJAB,2021,Jun-Sep,Plain-land,616.2344360351562
PUNJAB,2021,Mar-May,Plain-land,29.325483322143555
PUNJAB,2021,Oct-Dec,Plain-land,48.97392272949219
SOUTH INTERIOR KARNATAKA,2021,Jan-Feb,Coastal,12.526229858398438
SOUTH INTERIOR KARNATAKA,2021,Jun-Sep,Coastal,896.9658203125
SOUTH INTERIOR KARNATAKA,2021,Mar-May,Coastal,141.53375244140625
SOUTH INTERIOR KARNATAKA,2021,Oct-Dec,Coastal,152.889404296875
SUB HIMALAYAN WEST BENGAL & SIKKIM,2021,Jan-Feb,Hilly,51.11510467529297
SUB HIMALAYAN WEST BENGAL & SIKKIM,2021,Jun-Sep,Hilly,746.4297485351562
SUB HIMALAYAN WEST BENGAL & SIKKIM,2021,Mar-May,Hilly,182.33578491210938
SUB HIMALAYAN WEST BENGAL & SIKKIM,2021,Oct-Dec,Hilly,115.53729248046875
TAMIL NADU,2021,Jan-Feb,Hilly/coastal,45.9190673828125
TAMIL NADU,2021,Jun-Sep,Hilly/coastal,701.9645385742188
TAMIL NADU,2021,Mar-May,Hilly/coastal,136.21017456054688
TAMIL NADU,2021,Oct-Dec,Hilly/coastal,133.55210876464844
TELANGANA,2021,Jan-Feb,Hilly/plain,37.6180419921875
TELANGANA,2021,Jun-Sep,Hilly/plain,658.0821533203125
TELANGANA,2021,Mar-May,Hilly/plain,91.87100982666016
TELANGANA,2021,Oct-Dec,Hilly/plain,117.6817398071289
UTTARAKHAND,2021,Jan-Feb,Hilly,48.46078872680664
UTTARAKHAND,2021,Jun-Sep,Hilly,709.872802734375
UTTARAKHAND,2021,Mar-May,Hilly,166.57080078125
UTTARAKHAND,2021,Oct-Dec,Hilly,129.35391235351562
WEST MADHYA PRADESH,2021,Jan-Feb,Plain-land,8.33861255645752
WEST MADHYA PRADESH,2021,Jun-Sep,Plain-land,570.947509765625
WEST MADHYA PRADESH,2021,Mar-May,Plain-land,30.240478515625
WEST MADHYA PRADESH,2021,Oct-Dec,Plain-land,78.78845977783203
WEST RAJASTHAN,2021,Jan-Feb,Desert,14.579540252685547
WEST RAJASTHAN,2021,Jun-Sep,Desert,755.5659790039062
WEST RAJASTHAN,2021,Mar-May,Desert,133.4422149658203
WEST RAJASTHAN,2021,Oct-Dec,Desert,116.12081909179688
WEST UTTAR PRADESH,2021,Jan-Feb,Hilly,47.954376220703125
WEST UTTAR PRADESH,2021,Jun-Sep,Hilly,672.19140625
WEST UTTAR PRADESH,2021,Mar-May,Hilly,156.37596130371094
WEST UTTAR PRADESH,2021,Oct-Dec,Hilly,145.7292938232422
ANDAMAN & NICOBAR ISLANDS,2022,Jan-Feb,Island,89.27933502197266
ANDAMAN & NICOBAR ISLANDS,2022,Jun-Sep,Island,1216.81884765625
ANDAMAN & NICOBAR ISLANDS,2022,Mar-May,Island,424.66241455078125
ANDAMAN & NICOBAR ISLANDS,2022,Oct-Dec,Island,334.2817077636719
ARUNACHAL PRADESH,2022,Jan-Feb,Hilly,99.2981948852539
ARUNACHAL PRADESH,2022,Jun-Sep,Hilly,1386.7001953125
ARUNACHAL PRADESH,2022,Mar-May,Hilly,425.8061828613281
ARUNACHAL PRADESH,2022,Oct-Dec,Hilly,271.9735412597656
ASSAM & MEGHALAYA,2022,Jan-Feb,Hilly,67.64242553710938
ASSAM & MEGHALAYA,2022,Jun-Sep,Hilly,1339.271484375
ASSAM & MEGHALAYA,2022,Mar-May,Hilly,385.5933837890625
ASSAM & MEGHALAYA,2022,Oct-Dec,Hilly,227.7010040283203
BIHAR,2022,Jan-Feb,Plain-land,11.466294288635254
BIHAR,2022,Jun-Sep,Plain-land,999.846435546875
BIHAR,2022,Mar-May,Plain-land,231.05801391601562
BIHAR,2022,Oct-Dec,Plain-land,174.49192810058594
CHHATTISGARH,2022,Jan-Feb,Hilly,37.54300308227539
CHHATTISGARH,2022,Jun-Sep,Hilly,1245.2972412109375
CHHATTISGARH,2022,Mar-May,Hilly,306.68310546875
CHHATTISGARH,2022,Oct-Dec,Hilly,142.56402587890625
COASTAL ANDHRA PRADESH,2022,Jan-Feb,Coastal,10.15554141998291
COASTAL ANDHRA PRADESH,2022,Jun-Sep,Coastal,1623.4664306640625
COASTAL ANDHRA PRADESH,2022,Mar-May,Coastal,199.77236938476562
COASTAL ANDHRA PRADESH,2022,Oct-Dec,Coastal,255.94338989257812
COASTAL KARNATAKA,2022,Jan-Feb,Coastal,5.307452201843262
COASTAL KARNATAKA,2022,Jun-Sep,Coastal,1577.801513671875
COASTAL KARNATAKA,2022,Mar-May,Coastal,174.41754150390625
COASTAL KARNATAKA,2022,Oct-Dec,Coastal,235.69256591796875
EAST MADHYA PRADESH,2022,Jan-Feb,Everything,25.290464401245117
EAST MADHYA PRADESH,2022,Jun-Sep,Everything,1244.814697265625
EAST MADHYA PRADESH,2022,Mar-May,Everything,162.88235473632812
EAST MADHYA PRADESH,2022,Oct-Dec,Everything,71.62178039550781
